Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
68,7.5,66.833,12.068,-1.616,6710.691,1249.834,-300.427
68,8,72.867,12.073,-1.62,7335.608,1250.985,-301.248
68,8.5,78.904,12.079,-1.624,7961.1,1252.136,-302.07
68,9,84.943,12.084,-1.628,8587.168,1253.287,-302.891
68,9.5,90.985,12.09,-1.632,9213.811,1254.438,-303.713
68,10,97.03,12.095,-1.636,9841.03,1255.589,-304.534
68,10.5,103.078,12.101,-1.64,10468.824,1256.74,-305.356
68,11,109.128,12.106,-1.644,11097.194,1257.891,-306.177
68,11.5,115.181,12.112,-1.649,11726.139,1259.042,-306.999
68,12,121.237,12.117,-1.653,12355.66,1260.193,-307.82
68,12.5,127.295,12.123,-1.657,12985.756,1261.344,-308.642
68,13,133.357,12.128,-1.661,13616.428,1262.495,-309.463
68,13.5,139.421,12.134,-1.665,14247.675,1263.646,-310.285
68,14,145.488,12.139,-1.669,14879.498,1264.797,-311.106
68,14.5,151.557,12.145,-1.673,15511.896,1265.948,-311.928
68,15,157.63,12.15,-1.677,16144.87,1267.099,-312.749
68,15.5,163.705,12.156,-1.681,16778.419,1268.25,-313.571
68,16,169.782,12.161,-1.685,17412.544,1269.401,-314.392
68,16.5,175.863,12.167,-1.69,18047.244,1270.551,-315.214
68,17,181.946,12.172,-1.694,18682.52,1271.703,-316.035
68,17.5,188.032,12.178,-1.698,19318.371,1272.854,-316.857
68,18,194.121,12.183,-1.702,19954.798,1274.005,-317.678
68,18.5,200.213,12.189,-1.706,20591.8,1275.156,-318.5
68,19,206.307,12.194,-1.71,21229.378,1276.307,-319.321
68,19.5,212.404,12.2,-1.714,21867.531,1277.458,-320.143
68,20,218.504,12.205,-1.718,22506.26,1278.608,-320.964
68,20.5,224.607,12.211,-1.722,23145.564,1279.76,-321.786
68,21,230.712,12.216,-1.726,23785.444,1280.91,-322.607
68,21.5,236.82,12.222,-1.731,24425.899,1282.062,-323.429
62.2,2,0.193,13.651,-1.2,-109.65,1608.983,-331.72
62.2,2.5,7.019,13.659,-1.203,694.841,1610.306,-332.655
62.2,3,13.848,13.666,-1.207,1499.994,1611.629,-333.59
62.2,3.5,20.681,13.673,-1.21,2305.808,1612.952,-334.525
62.2,4,27.518,13.681,-1.214,3112.284,1614.275,-335.46
62.2,4.5,34.358,13.688,-1.217,3919.421,1615.598,-336.395
62.2,5,41.202,13.695,-1.221,4727.22,1616.921,-337.33
62.2,5.5,48.05,13.702,-1.224,5535.68,1618.244,-338.265
62.2,6,54.901,13.71,-1.227,6344.802,1619.567,-339.2
62.2,6.5,61.756,13.717,-1.231,7154.585,1620.89,-340.135
62.2,7,68.614,13.724,-1.234,7965.03,1622.213,-341.07
62.2,7.5,75.476,13.732,-1.238,8776.136,1623.535,-342.005
62.2,8,82.342,13.739,-1.241,9587.904,1624.859,-342.94
62.2,8.5,89.212,13.748,-1.245,10400.333,1626.182,-343.875
62.2,9,96.085,13.754,-1.248,11213.424,1627.505,-344.81
62.2,9.5,102.962,13.761,-1.252,12027.176,1628.828,-345.745
62.2,10,109.842,13.768,-1.255,12841.59,1630.151,-346.68
62.2,10.5,116.726,13.775,-1.258,13656.665,1631.474,-347.615
62.2,11,123.614,13.783,-1.262,14472.402,1632.797,-348.55
62.2,11.5,130.505,13.79,-1.265,15288.8,1634.119,-349.485
62.2,12,137.4,13.797,-1.269,16105.86,1635.443,-350.42
62.2,12.5,144.299,13.805,-1.272,16923.581,1636.766,-351.355
62.2,13,151.201,13.812,-1.276,17741.964,1638.089,-352.29
62.2,13.5,158.107,13.819,-1.279,18561.008,1639.411,-353.225
62.2,14,165.017,13.827,-1.283,19380.714,1640.735,-354.16
62.2,14.5,171.93,13.834,-1.286,20201.081,1642.058,-355.095
62.2,15,178.847,13.841,-1.29,21022.11,1643.381,-356.03
62.2,15.5,185.768,13.848,-1.293,21843.8,1644.704,-356.965
62.2,16,192.692,13.856,-1.296,22666.152,1646.027,-357.9
62.2,16.5,199.62,13.863,-1.3,23489.165,1647.35,-358.835
62.2,17,206.551,13.87,-1.303,24312.84,1648.673,-359.77
62.2,17.5,213.486,13.878,-1.307,25137.176,1649.996,-360.705
62.2,18,220.425,13.885,-1.31,25962.174,1651.319,-361.64
62.2,18.5,227.368,13.892,-1.314,26787.833,1652.642,-362.575
62.2,19,234.314,13.9,-1.317,27614.154,1653.965,-363.51
62.2,19.5,241.264,13.907,-1.321,28441.136,1655.288,-364.445
62.2,20,248.217,13.914,-1.324,29268.78,1656.61,-365.38
62.2,20.5,255.174,13.921,-1.327,30097.085,1657.934,-366.315
62.2,21,262.135,13.929,-1.331,30926.052,1659.257,-367.25
62.2,21.5,269.099,13.936,-1.334,31755.68,1660.579,-368.185
56,2,-1.383,14.838,-0.835,-126.072,2023.242,-360.867
56,2.5,6.036,14.861,-0.834,885.549,2024.953,-361.247
56,3,13.467,14.884,-0.832,1898.025,2026.664,-362.826
56,3.5,20.909,14.907,-0.83,2911.357,2028.375,-363.806
56,4,28.362,14.931,-0.829,3925.544,2030.086,-364.785
56,4.5,35.828,14.954,-0.827,4940.587,2031.797,-365.765
56,5,43.305,14.977,-0.825,5956.485,2033.508,-366.744
56,5.5,50.793,15,-0.824,6973.239,2035.219,-367.724
56,6,58.293,15.023,-0.822,7990.848,2036.93,-368.703
56,6.5,65.805,15.047,-0.821,9009.313,2038.641,-369.683
56,7,73.328,15.07,-0.819,10028.633,2040.352,-370.662
56,7.5,80.863,15.093,-0.817,11048.809,2042.063,-371.642
56,8,88.409,15.116,-0.816,12069.84,2043.774,-372.621
56,8.5,95.967,15.139,-0.814,13091.727,2045.485,-373.601
56,9,103.537,15.163,-0.813,14114.469,2047.195,-374.58
