Frame station,draught,Displacement,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
197.5,13.5,146002,47.396,4.321,-1.286,2162.296,205.108,-72.766
197.5,14,151911,49.556,4.326,-1.289,2264.85,205.466,-73.031
197.5,14.5,157849,51.719,4.33,-1.292,2367.583,205.824,-73.297
197.5,15,163817,53.885,4.335,-1.295,2470.495,206.182,-73.562
197.5,15.5,169812,56.052,4.339,-1.298,2573.586,206.54,-73.828
197.5,16,175834,58.222,4.344,-1.301,2676.856,206.898,-74.093
197.5,16.5,181880,60.394,4.348,-1.305,2780.305,207.256,-74.359
197.5,17,187948,62.568,4.353,-1.308,2883.933,207.614,-74.624
197.5,17.5,194030,64.744,4.357,-1.311,2987.74,207.972,-74.89
197.5,18,200129,66.923,4.362,-1.314,3091.726,208.33,-75.155
197.5,18.5,206249,69.104,4.366,-1.317,3195.891,208.688,-75.421
197.5,19,212382,71.287,4.371,-1.32,3300.235,209.046,-75.686
197.5,19.5,218522,73.472,4.375,-1.323,3404.758,209.404,-75.952
197.5,20,224668,75.66,4.38,-1.327,3509.46,209.762,-76.217
197.5,20.5,230825,77.85,4.384,-1.33,3614.341,210.12,-76.483
183,2,19042,-1.691,4.819,-1.278,-169.404,255.841,-82.944
183,2.5,24140,0.718,4.824,-1.281,-41.484,256.258,-83.251
183,3,29301,3.13,4.828,-1.284,86.645,256.675,-83.558
183,3.5,34515,5.544,4.833,-1.287,214.982,257.092,-83.865
183,4,39775,7.96,4.837,-1.291,343.528,257.509,-84.172
183,4.5,45075,10.379,4.842,-1.294,472.282,257.926,-84.479
183,5,50413,12.8,4.846,-1.297,601.245,258.343,-84.786
183,5.5,55787,15.223,4.851,-1.3,730.416,258.76,-85.093
183,6,61195,17.648,4.855,-1.303,859.796,259.177,-85.4
183,6.5,66637,20.075,4.86,-1.307,989.384,259.594,-85.707
183,7,72109,22.505,4.864,-1.31,1119.181,260.011,-86.014
183,7.5,77610,24.937,4.869,-1.313,1249.186,260.428,-86.321
183,8,83141,27.371,4.873,-1.316,1379.4,260.845,-86.628
183,8.5,88700,29.808,4.878,-1.319,1509.822,261.262,-86.935
183,9,94287,32.247,4.882,-1.323,1640.453,261.679,-87.242
183,9.5,99904,34.688,4.887,-1.326,1771.292,262.095,-87.549
183,10,105551,37.131,4.891,-1.329,1902.34,262.513,-87.856
183,10.5,111229,39.577,4.896,-1.332,2033.596,262.929,-88.163
183,11,116939,42.024,4.9,-1.335,2165.061,263.347,-88.47
183,11.5,122683,44.474,4.905,-1.339,2296.734,263.764,-88.777
183,12,128462,46.927,4.909,-1.342,2428.616,264.181,-89.084
183,12.5,134277,49.381,4.914,-1.345,2560.706,264.598,-89.391
183,13,140126,51.838,4.918,-1.348,2693.005,265.015,-89.698
183,13.5,146002,54.297,4.923,-1.351,2825.512,265.432,-90.005
183,14,151911,56.758,4.927,-1.355,2958.228,265.849,-90.312
183,14.5,157849,59.222,4.932,-1.358,3091.152,266.266,-90.619
183,15,163817,61.688,4.936,-1.361,3224.285,266.683,-90.926
183,15.5,169812,64.156,4.941,-1.364,3357.626,267.1,-91.233
183,16,175834,66.626,4.945,-1.367,3491.176,267.517,-91.54
183,16.5,181880,69.098,4.95,-1.371,3624.934,267.933,-91.847
183,17,187948,71.573,4.954,-1.374,3758.901,268.351,-92.154
183,17.5,194030,74.05,4.959,-1.377,3893.076,268.768,-92.461
183,18,200129,76.529,4.963,-1.38,4027.46,269.184,-92.768
183,18.5,206249,79.011,4.968,-1.383,4162.052,269.602,-93.075
183,19,212382,81.495,4.972,-1.387,4296.853,270.019,-93.382
183,19.5,218522,83.981,4.977,-1.39,4431.862,270.436,-93.689
183,20,224668,86.469,4.981,-1.393,4567.08,270.852,-93.996
183,20.5,230825,88.96,4.986,-1.396,4702.506,271.27,-94.303
168.5,2,19042,-1.701,5.421,-1.314,-191.068,322.656,-99.887
168.5,2.5,24140,1.009,5.426,-1.318,-29.74,323.132,-100.236
168.5,3,29301,3.722,5.431,-1.321,131.826,323.608,-100.584
168.5,3.5,34515,6.437,5.435,-1.324,293.63,324.084,-100.933
168.5,4,39775,9.155,5.44,-1.327,455.672,324.56,-101.281
168.5,4.5,45075,11.875,5.444,-1.33,617.952,325.036,-101.63
168.5,5,50413,14.597,5.449,-1.334,780.47,325.512,-101.978
168.5,5.5,55787,17.321,5.453,-1.337,943.226,325.988,-102.327
168.5,6,61195,20.048,5.458,-1.34,1106.22,326.464,-102.675
168.5,6.5,66637,22.777,5.463,-1.343,1269.452,326.94,-103.024
168.5,7,72109,25.509,5.467,-1.346,1432.922,327.416,-103.372
168.5,7.5,77610,28.242,5.472,-1.35,1596.63,327.892,-103.721
168.5,8,83141,30.978,5.476,-1.353,1760.576,328.368,-104.069
168.5,8.5,88700,33.716,5.481,-1.356,1924.76,328.844,-104.418
168.5,9,94287,36.457,5.486,-1.359,2089.182,329.32,-104.766
168.5,9.5,99904,39.2,5.49,-1.362,2253.842,329.796,-105.115
168.5,10,105551,41.945,5.495,-1.366,2418.74,330.272,-105.463
168.5,10.5,111229,44.692,5.5,-1.369,2583.876,330.748,-105.812
168.5,11,116939,47.442,5.504,-1.372,2749.25,331.224,-106.16
168.5,11.5,122683,50.194,5.509,-1.375,2914.862,331.7,-106.509
168.5,12,128462,52.949,5.513,-1.378,3080.712,332.176,-106.857
168.5,12.5,134277,55.705,5.518,-1.382,3246.8,332.652,-107.206
168.5,13,140126,58.464,5.523,-1.385,3413.126,333.128,-107.554
168.5,13.5,146002,61.225,5.527,-1.388,3579.69,333.604,-107.903
168.5,14,151911,63.989,5.532,-1.391,3746.492,334.08,-108.251
168.5,14.5,157849,66.755,5.536,-1.394,3913.532,334.556,-108.6
168.5,15,163817,69.523,5.541,-1.398,4080.81,335.032,-108.948
168.5,15.5,169812,72.293,5.546,-1.401,4248.326,335.508,-109.297
168.5,16,175834,75.066,5.55,-1.404,4416.08,335.984,-109.645
168.5,16.5,181880,77.841,5.555,-1.407,4584.072,336.46,-109.994
168.5,17,187948,80.619,5.559,-1.41,4752.302,336.936,-110.342
168.5,17.5,194030,83.398,5.564,-1.414,4920.77,337.412,-110.691
168.5,18,200129,86.18,5.569,-1.417,5089.476,337.888,-111.039
168.5,18.5,206249,88.964,5.573,-1.42,5258.42,338.364,-111.388
168.5,19,212382,91.751,5.578,-1.423,5427.602,338.84,-111.736
168.5,19.5,218522,94.54,5.582,-1.426,5597.022,339.316,-112.085
168.5,20,224668,97.331,5.587,-1.43,5766.68,339.792,-112.433
168.5,20.5,230825,100.124,5.592,-1.433,5936.576,340.268,-112.782
154,2,19042,-1.713,6.024,-1.323,-213.01,397.335,-117.122
154,2.5,24140,1.299,6.029,-1.326,-14.343,397.871,-117.512
